LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT
PROJECT2,PROJECT2,,,CHLDRN14,1,8,67,NUMBER OF PERSONS 14 AND YOUNGER IN HH,,0,0,,0,0,1,528,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CHLDRN17,1,8,68,NUMBER OF PERSONS 17 AND YOUNGER IN HH,,0,0,,0,0,1,536,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CHLDRN18,1,8,69,NUMBER OF PERSONS 18 AND YOUNGER IN HH,,0,0,,0,0,1,544,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CHLDRN20,1,8,70,NUMBER OF PERSONS 20 AND YOUNGER IN HH,,0,0,,0,0,1,552,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CITIZEN,1,8,48,U.S. CITIZEN,,0,0,,0,0,1,376,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CNFAMINC,1,8,183,FAMILY INCOME IN 1999 (CENSUS TYPE),,0,0,,0,0,1,1456,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CNFINCAT,1,8,184,FAMILY INCOME IN 1999 (CENSUS) RECODES,,0,0,,0,0,1,1464,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CONTY1YR,1,8,51,COUNTY LIVED IN ONE YEAR AGO,,0,0,,0,0,1,400,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CUR_INS,1,8,207,PERSON CURRENTLY INSURED,,0,0,,0,0,1,1648,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,EMP_I,1,8,190,EMPLOYER/UNION SPONSORED IMPUTATION FLAG,,0,0,,0,0,1,1512,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,FAMINC99,1,8,180,FAMILY INCOME IN 1999 (INSURANCE TYPE),,0,0,,0,0,1,1432,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,FAMINCAT,1,8,182,FAMILY INCOME IN 99 (INSURANCE) RECODES,,0,0,,0,0,1,1448,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,FAMINC_I,1,8,181,FAMILY INCOME (INSURANCE) IMPUTATION FLA,,0,0,,0,0,1,1440,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,FAM_ID,1,8,6,FAMILY NUMBER W/I HOUSEHOLD (INSURANCE),,0,0,,0,0,1,40,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,FNLWGT,1,8,5,WEIGHT,,0,0,,0,0,1,32,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,F_PNUM,1,8,7,PERSON NUMBER W/I INSURANCE FAMILY,,0,0,,0,0,1,48,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHEARN99,1,8,176,1999 TOTAL HOUSEHOLD WAGE EARNINGS,,0,0,,0,0,1,1400,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHINC,1,8,173,1999 HOUSEHOLD TOTAL INCOME,,0,0,,0,0,1,1376,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHINCCAT,1,8,175,1999 HOUSEHOLD INCOME RECODES,,0,0,,0,0,1,1392,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHINC_I,1,8,174,1999 HOUSEHOLD INCOME IMPUTATION FLAG,,0,0,,0,0,1,1384,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHPOVCAT,1,8,179,HH INCOME AS % OF FPL - RECODES,,0,0,,0,0,1,1424,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHPOVLEV,1,8,178,HH INCOME AS % OF FEDERAL POVERTY LEVEL,,0,0,,0,0,1,1416,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HHTYPE,1,8,63,TYPE OF HOUSEHOLD,,0,0,,0,0,1,496,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,HOURWEEK,1,8,94,HOURS WORKED PER WEEK (ALL JOBS),,0,0,,0,0,1,744,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,ID,1,8,1,HOUSEHOLD IDENTIFICATION NUMBER,,8,0,,0,0,1,0,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_BHP,1,8,199,PERSON RCVD BASIC HEALTH PLAN,,0,0,,0,0,1,1584,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_EMP,1,8,189,PERSON RCVD EMPLOYER/UNION SPONSRD HEALT,,0,0,,0,0,1,1504,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_MAA,1,8,195,PERSON RCVD MEDICAID OR OTHER DSHS MED,,0,0,,0,0,1,1552,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_MDCR,1,8,191,PERSON RCVD MEDICARE,,0,0,,0,0,1,1520,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_MIL,1,8,197,PERSON RCVD MILITARY HEALTH PLAN,,0,0,,0,0,1,1568,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_OTH,1,8,203,PERSON RCVD OTHER HEALTH COVERAGE,,0,0,,0,0,1,1616,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_OUT,1,8,201,PERSON RCVD COVERAGE FROM OUTSIDE HH,,0,0,,0,0,1,1600,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,INS_OWN,1,8,193,PERSON BOUGHT OWN HEALTH PLAN,,0,0,,0,0,1,1536,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,LFS,1,8,124,LABOR FORCE STATUS,,0,0,,0,0,1,984,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,LFS_I,1,8,125,LABOR FORCE STATUS IMPUTATION FLAG,,0,0,,0,0,1,992,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,MAAWGT,1,8,234,Medical Assistance Weights,,0,0,,0,0,1,1864,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,MAA_I,1,8,196,MEDICAID/DSHS MED IMPUTATION FLAG,,0,0,,0,0,1,1560,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,MAJIND00,1,8,91,2000 MAJOR INDUSTRY RECODES,,0,0,,0,0,1,720,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,MAJIND99,1,8,138,1999 MAJOR INDUSTRY RECODES,,0,0,,0,0,1,1096,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,MDCR_I,1,8,192,MEDICARE IMPUTATION FLAG,,0,0,,0,0,1,1528,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,MIL_I,1,8,198,MILITARY HEALTH PLAN IMPUTATION FLAG,,0,0,,0,0,1,1576,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,NUMPLANS,1,8,205,NUMBER OF HEALTH PLANS,,0,0,,0,0,1,1632,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,NWAGEINC,1,8,177,1999 TOTAL HOUSEHOLD NON-WAGE EARNINGS,,0,0,,0,0,1,1408,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,OTH_I,1,8,204,OTHER HEALTH COVERAGE IMPUTATION FLAG,,0,0,,0,0,1,1624,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,OUT_I,1,8,202,OUTSIDE HH IMPUTATION FLAG,,0,0,,0,0,1,1608,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,OWNBUS,1,8,72,PERSON HAS A BUSINESS OR FARM,,0,0,,0,0,1,568,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,OWN_I,1,8,194,OWN HEALTH PLAN IMPUTATION FLAG,,0,0,,0,0,1,1544,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PEARN99,1,8,168,1999 PERSONAL WAGE EARNINGS,,0,0,,0,0,1,1336,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PEOPL,1,8,12,# OF PEOPLE LIVE TOGETHER IN RESIDENCE,,0,0,,0,0,1,88,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PLACE1YR,1,8,50,PLACE PERSON LIVED IN ONE YEAR AGO,,0,0,,0,0,1,392,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PNUM,1,8,2,PERSON NUMBER WITHIN HOUSEHOLD,,0,0,,0,0,1,8,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PNWAGE,1,8,167,1999 PERSONAL NON-WAGE INCOME,,0,0,,0,0,1,1328,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,POVCAT,1,8,186,FAMILY (INS) INCOME AS % OF FPL-RECODES,,0,0,,0,0,1,1480,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,POVLEV,1,8,185,FAMILY (INS) INCOME AS % OF FPL,,0,0,,0,0,1,1472,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PRIMECOV,1,8,206,PERSON*S PRIMARY COVERAGE,,0,0,,0,0,1,1640,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,PRMRY,1,8,11,PRIMARY RESIDENCE,,0,0,,0,0,1,80,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q215B1,1,8,39,WAR OR CONFLICT IN WHICH PERSON SERVED,,0,0,,0,0,1,304,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q215B2,1,8,40,WAR OR CONFLICT IN WHICH PERSON SERVED,,0,0,,0,0,1,312,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q215B3,1,8,41,WAR OR CONFLICT IN WHICH PERSON SERVED,,0,0,,0,0,1,320,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q215P,1,8,37,PERSON EVER SERVED IN US ARMED FORCES,,0,0,,0,0,1,288,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q217B,1,8,43,OCC/VOC OR ACADEMIC PROGRAM,,0,0,,0,0,1,336,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P2,1,8,13,DOES PERSON OWN/RENT THIS RESIDENCE,,0,0,,0,0,1,96,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P6,1,8,15,PERSON*S SEX,,0,0,,0,0,1,112,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P10,1,8,23,TO WHOM IS PERSON MARRIED,,0,0,,0,0,1,176,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P11,1,8,24,PERSON CHILD OF SOMEONE IN HOUSEHOLD,,0,0,,0,0,1,184,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P12,1,8,25,WHO IS PERSON*S PARENT/GUARDIAN,,0,0,,0,0,1,192,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P14,1,8,36,PERSON*S MARITAL STATUS,,0,0,,0,0,1,280,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P15,1,8,38,PERSON NOW ON ARMED FORCES ACTIVE DUTY,,0,0,,0,0,1,296,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P16,1,8,26,PERSON OF HISPANIC ORIGIN,,0,0,,0,0,1,200,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P17,1,8,42,HIGHEST LEVEL OF SCHOOL PERSON COMPLETED,,0,0,,0,0,1,328,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P18,1,8,44,PERSON BORN A U.S. CITIZEN,,0,0,,0,0,1,344,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P19,1,8,45,COUNTRY IN WHICH PERSON BORN,,0,0,,0,0,1,352,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P20,1,8,46,YEAR PERSON FIRST CAME TO LIVE IN THE US,,0,0,,0,0,1,360,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P21,1,8,47,PERSON A U.S. CITIZEN NOW,,0,0,,0,0,1,368,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P23,1,8,49,ONE YEAR AGO LIVING IN SAME WA COUNTY,,0,0,,0,0,1,384,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P25,1,8,53,OTHERS LIVED W/RESPONDENT 1 YR AGO,,0,0,,0,0,1,416,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P26,1,8,54,PERSON DID NOT LIVE W/RESP 1 YR AGO,,0,0,,0,0,1,424,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P27,1,8,55,REASON FOR MOVING TO WASHINGTON,,0,0,,0,0,1,432,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M1,1,8,28,RACE - 1ST CHOICE,,0,0,,0,0,1,216,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M2,1,8,29,RACE - 2ND CHOICE,,0,0,,0,0,1,224,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M3,1,8,30,RACE - 3RD CHOICE,,0,0,,0,0,1,232,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M4,1,8,31,RACE - 4TH CHOICE,,0,0,,0,0,1,240,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M5,1,8,32,RACE - 5TH CHOICE,,0,0,,0,0,1,248,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M6,1,8,33,RACE - 6TH CHOICE,,0,0,,0,0,1,256,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13M7,1,8,34,RACE - 7TH CHOICE,,0,0,,0,0,1,264,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,Q2P13_I,1,8,35,RACE IMPUTATION FLAG,,0,0,,0,0,1,272,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
